index,fit-max,fit-min,fit-avg-min,fit-avg-max,fit-avg,fit-avg-median,const-max,const-min,const-avg-min,const-avg-max,const-avg,const-avg-median,m-leg,m-grid,m-align,m-reg,m-just,m-type-par,m-balance,m-ng-space,m-sem-emp,m-sem-lay,m-sem-vis,fittest-avg-fit,fittest-avg-const,fittest-avg-penalty,fittest-avg-max-fit,fittest-avg-max-const,fittest-avg-max-penalty,fittest-avg-min-fit,fittest-avg-min-const,fittest-avg-min-penalty,fittest-avg-m-leg,fittest-avg-m-grid,fittest-avg-m-align,fittest-avg-m-reg,fittest-avg-m-just,fittest-avg-m-type-par,fittest-avg-m-balance,fittest-avg-m-ng-space,fittest-avg-m-sem-emp,fittest-avg-m-sem-lay,fittest-avg-m-sem-vis
75,0.98,0.51,0.98,0.68,0.88,0.89,0.8,0,0.09,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.88,0,0.9,0,0.9,0.93,0,0.93,0.83,0,0.9,1,1,0,0,0,0,0,0,0.9,0.89,0
76,0.98,0.51,0.98,0.68,0.88,0.89,0.67,0,0.07,0,0.02,0,0.98,1,0,0,0,0,0,0,0.88,0.88,0,0.9,0,0.9,0.93,0,0.93,0.83,0,0.9,1,1,0,0,0,0,0,0,0.9,0.89,0
77,0.98,0.51,0.98,0.68,0.88,0.89,0.94,0,0.08,0,0.02,0,0.98,1,0,0,0,0,0,0,0.88,0.88,0,0.9,0,0.9,0.93,0,0.93,0.83,0,0.9,1,1,0,0,0,0,0,0,0.9,0.89,0
78,0.98,0.51,0.98,0.68,0.88,0.89,0.73,0,0.08,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.88,0,0.9,0,0.9,0.93,0,0.93,0.83,0,0.9,1,1,0,0,0,0,0,0,0.9,0.89,0
79,0.98,0.51,0.98,0.68,0.88,0.89,0.83,0,0.09,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.88,0,0.9,0,0.9,0.93,0,0.93,0.83,0,0.9,1,1,0,0,0,0,0,0,0.9,0.89,0
80,0.98,0.51,0.98,0.68,0.88,0.89,0.67,0,0.07,0,0.02,0,0.98,1,0,0,0,0,0,0,0.88,0.88,0,0.9,0,0.9,0.93,0,0.93,0.83,0,0.9,1,1,0,0,0,0,0,0,0.9,0.89,0
81,0.98,0.51,0.98,0.68,0.88,0.89,0.69,0,0.07,0,0.02,0,0.98,1,0,0,0,0,0,0,0.88,0.88,0,0.9,0,0.9,0.93,0,0.93,0.83,0,0.9,1,1,0,0,0,0,0,0,0.9,0.89,0
82,0.98,0.51,0.98,0.68,0.88,0.89,0.74,0,0.08,0,0.02,0,0.98,1,0,0,0,0,0,0,0.88,0.88,0,0.9,0,0.9,0.93,0,0.93,0.83,0,0.9,1,1,0,0,0,0,0,0,0.9,0.89,0
83,0.98,0.51,0.98,0.68,0.88,0.89,0.78,0,0.09,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.88,0,0.9,0,0.9,0.93,0,0.93,0.83,0,0.9,1,1,0,0,0,0,0,0,0.9,0.89,0
84,0.98,0.51,0.98,0.68,0.88,0.89,0.72,0,0.08,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.88,0,0.9,0,0.9,0.93,0,0.93,0.83,0,0.9,1,1,0,0,0,0,0,0,0.9,0.89,0
85,0.98,0.51,0.98,0.68,0.88,0.89,0.73,0,0.07,0,0.02,0,0.98,1,0,0,0,0,0,0,0.88,0.88,0,0.9,0,0.9,0.93,0,0.93,0.83,0,0.9,1,1,0,0,0,0,0,0,0.9,0.89,0
86,0.98,0.51,0.98,0.68,0.88,0.89,0.71,0,0.09,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.88,0,0.9,0,0.9,0.93,0,0.93,0.83,0,0.9,1,1,0,0,0,0,0,0,0.9,0.89,0
87,0.98,0.51,0.98,0.68,0.88,0.89,0.97,0,0.08,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.88,0,0.9,0,0.9,0.93,0,0.93,0.83,0,0.9,1,1,0,0,0,0,0,0,0.9,0.89,0
88,0.98,0.51,0.98,0.68,0.88,0.89,0.86,0,0.08,0,0.02,0,0.98,1,0,0,0,0,0,0,0.88,0.88,0,0.9,0,0.9,0.93,0,0.93,0.83,0,0.9,1,1,0,0,0,0,0,0,0.9,0.89,0
